topic,proportion,timeStep
Topic-4,22,02/02/17:18:30:01
Topic-5,37,02/02/17:18:30:01
Topic-6,21,02/02/17:18:30:01
Topic-7,18,02/02/17:18:30:01
Topic-8,146,02/02/17:18:30:01
Topic-9,6,02/02/17:18:30:01
Topic-0,64,02/02/17:19:00:01
Topic-1,19,02/02/17:19:00:01
Topic-2,29,02/02/17:19:00:01
Topic-3,63,02/02/17:19:00:01
Topic-4,20,02/02/17:19:00:01
Topic-5,32,02/02/17:19:00:01
Topic-6,19,02/02/17:19:00:01
Topic-7,16,02/02/17:19:00:01
Topic-8,143,02/02/17:19:00:01
Topic-9,21,02/02/17:19:00:01
Topic-0,58,02/02/17:19:30:01
Topic-1,18,02/02/17:19:30:01
Topic-2,20,02/02/17:19:30:01
Topic-3,72,02/02/17:19:30:01
Topic-4,20,02/02/17:19:30:01
Topic-5,62,02/02/17:19:30:01
Topic-6,13,02/02/17:19:30:01
Topic-7,37,02/02/17:19:30:01
Topic-8,129,02/02/17:19:30:01
Topic-9,7,02/02/17:19:30:01
Topic-0,79,02/02/17:20:00:01
Topic-1,31,02/02/17:20:00:01
Topic-2,9,02/02/17:20:00:01
Topic-3,54,02/02/17:20:00:01
Topic-4,28,02/02/17:20:00:01
Topic-5,59,02/02/17:20:00:01
Topic-6,20,02/02/17:20:00:01
Topic-7,32,02/02/17:20:00:01
Topic-8,153,02/02/17:20:00:01
Topic-9,10,02/02/17:20:00:01
Topic-0,63,02/02/17:20:30:01
Topic-1,10,02/02/17:20:30:01
Topic-2,17,02/02/17:20:30:01
Topic-3,57,02/02/17:20:30:01
Topic-4,27,02/02/17:20:30:01
Topic-5,103,02/02/17:20:30:01
Topic-6,16,02/02/17:20:30:01
Topic-7,25,02/02/17:20:30:01
Topic-8,124,02/02/17:20:30:01
Topic-9,8,02/02/17:20:30:01
Topic-0,89,02/02/17:21:00:01
Topic-1,23,02/02/17:21:00:01
Topic-2,21,02/02/17:21:00:01
Topic-3,44,02/02/17:21:00:01
Topic-4,26,02/02/17:21:00:01
Topic-5,78,02/02/17:21:00:01
Topic-6,20,02/02/17:21:00:01
Topic-7,26,02/02/17:21:00:01
Topic-8,123,02/02/17:21:00:01
Topic-9,7,02/02/17:21:00:01
